Comunidad AutÛnoma/Provincia residencia;Tipo de VehÌculo;Carburante;Total
TOTAL;TOTAL;TOTAL;5604
TOTAL;TURISMOS;TOTAL;5604
AndalucÌa/AlmerÌa;TURISMOS;TOTAL;34
AndalucÌa/AlmerÌa;TURISMOS;ElÈctrico;34
AndalucÌa/C·diz;TURISMOS;TOTAL;32
AndalucÌa/C·diz;TURISMOS;ElÈctrico;32
AndalucÌa/CÛrdoba;TURISMOS;TOTAL;54
AndalucÌa/CÛrdoba;TURISMOS;ElÈctrico;54
AndalucÌa/Granada;TURISMOS;TOTAL;31
AndalucÌa/Granada;TURISMOS;ElÈctrico;31
AndalucÌa/Huelva;TURISMOS;TOTAL;18
AndalucÌa/Huelva;TURISMOS;ElÈctrico;18
AndalucÌa/JaÈn;TURISMOS;TOTAL;22
AndalucÌa/JaÈn;TURISMOS;ElÈctrico;22
AndalucÌa/M·laga;TURISMOS;TOTAL;177
AndalucÌa/M·laga;TURISMOS;ElÈctrico;177
AndalucÌa/Sevilla;TURISMOS;TOTAL;236
AndalucÌa/Sevilla;TURISMOS;ElÈctrico;236
AragÛn/Huesca;TURISMOS;TOTAL;15
AragÛn/Huesca;TURISMOS;ElÈctrico;15
AragÛn/Teruel;TURISMOS;TOTAL;2
AragÛn/Teruel;TURISMOS;ElÈctrico;2
AragÛn/Zaragoza;TURISMOS;TOTAL;52
AragÛn/Zaragoza;TURISMOS;ElÈctrico;52
Asturias (Principado de)/Asturias;TURISMOS;TOTAL;62
Asturias (Principado de)/Asturias;TURISMOS;ElÈctrico;62
Balears (Illes)/Balears (Illes);TURISMOS;TOTAL;189
Balears (Illes)/Balears (Illes);TURISMOS;ElÈctrico;189
Canarias/Palmas (Las);TURISMOS;TOTAL;94
Canarias/Palmas (Las);TURISMOS;ElÈctrico;94
Canarias/Santa Cruz de Tenerife;TURISMOS;TOTAL;92
Canarias/Santa Cruz de Tenerife;TURISMOS;ElÈctrico;92
Cantabria/Cantabria;TURISMOS;TOTAL;32
Cantabria/Cantabria;TURISMOS;ElÈctrico;32
Castilla y LeÛn/¡vila;TURISMOS;TOTAL;6
Castilla y LeÛn/¡vila;TURISMOS;ElÈctrico;6
Castilla y LeÛn/Burgos;TURISMOS;TOTAL;23
Castilla y LeÛn/Burgos;TURISMOS;ElÈctrico;23
Castilla y LeÛn/LeÛn;TURISMOS;TOTAL;16
Castilla y LeÛn/LeÛn;TURISMOS;ElÈctrico;16
Castilla y LeÛn/Palencia;TURISMOS;TOTAL;9
Castilla y LeÛn/Palencia;TURISMOS;ElÈctrico;9
Castilla y LeÛn/Salamanca;TURISMOS;TOTAL;12
Castilla y LeÛn/Salamanca;TURISMOS;ElÈctrico;12
Castilla y LeÛn/Segovia;TURISMOS;TOTAL;6
Castilla y LeÛn/Segovia;TURISMOS;ElÈctrico;6
Castilla y LeÛn/Soria;TURISMOS;TOTAL;7
Castilla y LeÛn/Soria;TURISMOS;ElÈctrico;7
